algorithm,method,couriers,mean,std,min,max
sa,random,2,18.779370532834594,0.7168083835812881,16.31479597459728,20.8397823856156
sa,random,3,15.760446254935752,0.6040743601763314,13.591291143789782,18.102386006676824
sa,random,4,13.822884566374897,0.5015316881533772,12.414022134139582,15.468802529607956
sa,random,5,12.34687170996284,0.4905483752627045,10.648922825482169,13.940660389188116
sa,random,6,11.259159314890336,0.42265647605122036,10.03329523617602,12.510005165824445
sa,distribute,2,10.503269867591715,0.3148454668804704,9.563235452272501,11.591803513322358
sa,distribute,3,7.7228610363757415,0.2409566410054738,7.000286036111133,8.513070967551833
sa,distribute,4,6.387075165006971,0.200244422869642,5.823231470890149,7.2230932470209375
sa,distribute,5,5.663866915229105,0.1858132576372996,5.132764491569771,6.231787111248406
sa,distribute,6,5.235927485622937,0.1968060802978206,4.684738526408635,5.898004636656891
sa,random2,2,11.790742272253178,0.44965844838337327,10.339707392643172,13.95311449805052
sa,random2,3,8.97972067432304,0.31300038226680094,7.926550324959584,9.9844014415135
sa,random2,4,7.721674441533366,0.25944766493087196,6.932318306758636,8.519937762263133
sa,random2,5,7.031859829691377,0.24086911112022028,6.228132082409696,7.799086046315718
sa,random2,6,6.565334474932632,0.21933192786166994,5.943597383270658,7.313760415397624
ga,insert,1,20.86739310587543,0.680363941966952,18.438934437418283,22.946544754268846
ga,insert,2,11.567897931849446,0.4760736739773431,10.122754538258354,13.244864049169687
ga,insert,3,8.74067385072339,0.5216484321924528,7.189767999970594,10.544840431767888
ga,insert,4,7.94476274500018,0.7205716407560757,6.020058620724832,10.462934597931953
ga,insert,5,7.608883586236618,0.7306626961155496,5.727713103299722,9.944467151081456
ga,insert,6,7.443509525679041,0.7368308839782786,5.1030222208494775,9.661242621597466
ga,swap,1,20.91902732960931,0.7137823760690725,18.860481844652597,23.410022759055483
ga,swap,2,11.501914860674137,0.461459020683147,10.117337394550084,13.033387202985738
ga,swap,3,8.717684838754142,0.5342723987271351,7.471171863373736,10.56561494980002
ga,swap,4,7.853605668844277,0.674067162570776,6.24229155063728,9.887468500090467
ga,swap,5,7.520731013708113,0.6570815194998442,5.696996663230074,9.300303057338894
ga,swap,6,7.260601313715853,0.6580966845593454,5.316377287795904,9.259645370995853
ga,reverse,1,19.99204430453734,0.6644462220258281,17.962155286619478,22.29936208281237
ga,reverse,2,12.21185008840766,0.5417343408308836,10.216955965289893,13.89632172567011
ga,reverse,3,9.765200345074446,0.483234924748932,8.174365533932711,11.456066749760208
ga,reverse,4,8.710502748947738,0.536390510824476,7.092583310016595,10.406410321896486
ga,reverse,5,8.215768502451125,0.6050717404388113,6.326462751276615,10.266379016626976
ga,reverse,6,7.917680412215491,0.6416784177599396,5.808409012790733,9.764775668912963
ga,random,1,20.28247943658058,0.6833509402904363,18.255228342444475,22.86077458101498
ga,random,2,12.016306788593997,0.5797975721327577,10.107183181276316,13.658187888022193
ga,random,3,9.541386481305379,0.553571364058841,7.901471744479826,11.357897094094355
ga,random,4,8.633308150176918,0.644297423500336,6.7286608502083505,11.029182277033152
ga,random,5,8.207478027501043,0.642615050783984,6.406752219778761,10.215716463475472
ga,random,6,7.929773560412794,0.6484488483233743,5.996725691062506,9.865443784868459
ga,distribute,2,11.448892346575217,0.47821019522816705,9.998786682597402,12.985560707794937
ga,distribute,3,8.647801627182544,0.45592923801093016,7.229114173054167,10.243793669715876
ga,distribute,4,7.59778149662569,0.5855381266825235,5.797564947545044,9.614108471028443
ga,distribute,5,7.163893591661227,0.640264066621717,5.535427209227744,9.295447272645358
ga,distribute,6,6.930831300138833,0.6985185844939338,4.970531970377098,9.232962727806111
ga,random2,2,12.091546450661696,0.5636242456991611,10.087412653934505,13.634840247966457
ga,random2,3,9.57615256475361,0.5349931666693195,7.887126487095369,11.322657151586176
ga,random2,4,8.51416899564293,0.5948868070618175,6.794678048557144,10.528581622352554
ga,random2,5,8.003169832997651,0.6232504739219602,6.25618115518936,9.79746656143711
ga,random2,6,7.6868287060673985,0.679886539704294,5.687473102510337,9.933541026135979
ga,none,1,21.7356668279844,0.7642629635763274,19.044572154321763,23.91998266649786
ga,none,2,13.044695390606167,1.2373118152745577,10.5839754303862,19.90108921974238
ga,none,3,12.656264982300845,1.0379495269275347,8.582057158769695,17.16676541810739
ga,none,4,12.444943460773686,0.9515901226730535,8.631584997264195,16.35376171667733
ga,none,5,12.185289026631166,0.8917325191714519,8.148642732296752,17.020574416415148
ga,none,6,11.962707656951979,0.9885938328676895,8.019283770788372,14.443969960828824
random,uniform,1,179.01625817640277,6.920005412009555,144.5924234802186,211.90806159539696
random,uniform,2,134.76850513372193,26.394774431507365,75.62170975195444,206.85948300261677
random,uniform,3,110.25118951593939,25.8672836052531,53.857968252896676,201.51418052765797
random,uniform,4,94.29035933582941,23.75028664949971,42.653736690281264,193.08611719604383
random,uniform,5,83.00480892363535,21.68738019284335,35.231495472494466,185.7798372184346
random,uniform,6,74.44722444479983,19.836189927504737,30.391161731379256,184.8524481396869
aco,insert,1,23.932399372490135,0.8852167370887739,21.20872643786065,26.511883873634307
aco,insert,2,12.910593829359854,0.5245857384778968,10.786650135611916,14.371515888005215
